,ngram,qty
0,en_la,3
1,la_luna,3
2,luna_negra,3
3,negra_de,1
4,de_los,1
5,los_bandoleros,1
6,bandoleros_cantan,1
7,cantan_las,1
8,las_espuelas,1
9,espuelas_caballito,1
10,caballito_negro,3
11,negro_donde,3
12,donde_llevas,3
13,llevas_tu,3
14,tu_jinete,3
15,jinete_muerto,3
16,muerto_las,1
17,las_duras,1
18,duras_espuelas,1
19,espuelas_del,1
20,del_bandido,1
21,bandido_inmovil,1
22,inmovil_que,1
23,que_perdio,1
24,perdio_las,1
25,las_riendas,1
26,riendas_caballito,1
27,caballito_frio,2
28,frio_que,2
29,que_perfume,2
30,perfume_de,2
31,de_flor,2
32,flor_de,2
33,de_cuchillo,2
34,cuchillo_en,2
35,negra_sangraba,1
36,sangraba_el,1
37,el_costado,1
38,costado_de,1
39,de_sierra,1
40,sierra_morena,1
41,morena_caballito,1
42,muerto_la,1
43,la_noche,1
44,noche_espolea,1
45,espolea_sus,1
46,sus_negros,1
47,negros_ijares,1
48,ijares_clavandose,1
49,clavandose_estrellas,1
50,estrellas_caballito,1
51,negra_un,1
52,un_grito,1
53,grito_y,1
54,y_el,1
55,el_cuerno,1
56,cuerno_largo,1
57,largo_de,1
58,de_la,1
59,la_hoguera,1
60,hoguera_caballito,1
